county,geoid,geoidfq,tract,pop,median_age,land_km2,water_km2,water_share,pop_density,housing_units,housing_occupied,housing_vacant,hu_density,vacancy_rate,persons_per_hh,median_hh_income,income_per_capita,poverty_universe,poverty_below,poverty_rate,commuters,commute_drove_alone,commute_transit,commute_wfh,mean_commute_min,drove_alone_share,transit_share,wfh_share
Bartow,13015960101,1400000US13015960101,960101,1678,42.8,93.408641,0,0,17.964076792424375,674,596,78,7.215606530449362,0.11572700296735905,2.82,73929,32144,1678,105,0.06257449344457688,726,666,0,37,35.703918722786646,0.9173553719008265,0,0.05096418732782369
Bartow,13015960103,1400000US13015960103,960103,3588,32,44.548535,0.349952,0.007794293825535814,80.54136909328219,1140,1096,44,25.59006710321675,0.03859649122807018,3.27,93676,30671,3588,187,0.05211817168338907,1425,1226,0,104,35.034065102195306,0.8603508771929824,0,0.07298245614035087
Bartow,13015960104,1400000US13015960104,960104,2677,39.4,100.036632,0.046511,4.6472361484490947e-4,26.760197204560026,1076,946,130,10.756059840159352,0.120817843866171,2.83,61207,35017,2633,220,0.08355488036460311,1310,922,0,203,28.346883468834687,0.7038167938931298,0,0.1549618320610687
Bartow,13015960105,1400000US13015960105,960105,3870,47.2,75.624073,0.074465,9.837045994204009e-4,51.17418100450633,1439,1361,78,19.028332420021865,0.054204308547602505,2.84,101472,37007,3870,294,0.07596899224806201,1785,1461,0,302,33.8671611598112,0.8184873949579832,0,0.16918767507002802
Bartow,13015960201,1400000US13015960201,960201,2768,38.6,77.056635,0.213115,0.0027580650901549444,35.921630888761236,1214,913,301,15.75464591725294,0.24794069192751236,3.03,88342,27709,2768,53,0.019147398843930637,1247,967,0,206,30.182516810758887,0.7754611066559743,0,0.16519647153167602
Bartow,13015960202,1400000US13015960202,960202,3755,43.5,10.384952,0,0,361.5808720155856,1256,1051,205,120.94422776340228,0.16321656050955413,3.57,73621,23138,3755,392,0.10439414114513981,1669,877,0,129,22.75,0.5254643499101258,0,0.07729179149191133
Bartow,13015960203,1400000US13015960203,960203,4190,38,88.374467,0.07217,8.159722341958576e-4,47.41188424932736,1557,1454,103,17.61821092510804,0.06615285806037251,2.88,76932,30785,4189,378,0.09023633325375985,1917,1586,0,146,28.743647656691135,0.8273343766301513,0,0.07616066770996348
Bartow,13015960301,1400000US13015960301,960301,3553,44.5,85.90432,0.107255,0.0012469833275346952,41.35996885837639,1468,1148,320,17.08877970281355,0.21798365122615804,3.09,86728,33227,3550,133,0.037464788732394366,1412,1194,0,100,34.66082317073171,0.8456090651558074,0,0.0708215297450425
Bartow,13015960302,1400000US13015960302,960302,3313,44.5,71.8711,0.637137,0.008787098216165426,46.09641427500066,1311,1175,136,18.240989771966756,0.10373760488176964,2.82,61756,28136,3310,483,0.1459214501510574,1515,1224,0,98,29.661256175017645,0.807920792079208,0,0.06468646864686468
Bartow,13015960403,1400000US13015960403,960403,4296,31,7.954386,0,0,540.0793977058694,1952,1638,314,245.3992049166334,0.16086065573770492,2.57,57900,24372,4204,752,0.17887725975261656,2269,2032,18,86,25.297755382501144,0.8955486998677832,0.007933010136624064,0.0379021595416483
Bartow,13015960404,1400000US13015960404,960404,5535,31.8,9.455702,0,0,585.3610868870444,2209,2007,202,233.61565328518176,0.09144409234947941,2.76,73729,29140,5450,697,0.12788990825688074,2866,1956,158,72,34.56692913385827,0.6824842986741103,0.05512909979064899,0.02512212142358688
Bartow,13015960405,1400000US13015960405,960405,4942,38.9,18.926097,0,0,261.12092736288946,1998,1710,288,105.56851737576956,0.14414414414414414,2.54,99921,34678,4339,352,0.08112468310670662,2452,1726,70,527,33.516883116883115,0.7039151712887439,0.028548123980424143,0.21492659053833604
Bartow,13015960406,1400000US13015960406,960406,2709,50.2,12.855996,0,0,210.71879611661362,1198,1089,109,93.18608997700373,0.09098497495826377,2.49,41738,34434,2709,194,0.07161314138058324,1262,625,0,274,23.39068825910931,0.49524564183835185,0,0.21711568938193343
Bartow,13015960407,1400000US13015960407,960407,2892,32.5,19.804833,0.422945,0.020909118144365635,146.02496269471195,976,963,13,49.2809002731808,0.01331967213114754,3,102548,29514,2890,404,0.1397923875432526,1358,1002,0,99,24.59491660047657,0.7378497790868925,0,0.07290132547864507
Bartow,13015960501,1400000US13015960501,960501,6613,32.5,7.534014,0,0,877.7525499687152,2208,2013,195,293.07086501299307,0.08831521739130435,3.29,67176,25286,6613,749,0.11326175714501739,3265,2320,0,192,26.810933940774486,0.7105666156202144,0,0.05880551301684533
Bartow,13015960502,1400000US13015960502,960502,3112,36.1,16.6605,0,0,186.78911197142943,1156,1068,88,69.3856726988986,0.07612456747404844,2.9,57821,24989,3092,277,0.08958602846054334,1304,961,0,105,31.46788990825688,0.7369631901840491,0,0.08052147239263803
Bartow,13015960601,1400000US13015960601,960601,5785,41.2,16.888502,0.346055,0.020079135193321187,342.5407416240943,2406,2255,151,142.46378986129145,0.0627597672485453,2.56,76271,38520,5749,1001,0.17411723778048357,2180,1637,0,298,22.67268862911796,0.7509174311926605,0,0.13669724770642203
