source,source_agg,target,target_agg
electricity,electricity,en4water,en4water
electricity,electricity,in-county treatment,in-county treatment
electricity,electricity,td_losses,Energy Losses
electricity,electricity,ww_exports,ww_exports
electricity,electricity,Bowen Plant,Bowen Plant
electricity,electricity,Jack McDonough Plant,Jack McDonough Plant
electricity,electricity,Yates Plant,Yates Plant
onsiteBTM,Renewables,commercial,commercial
onsiteBTM,Renewables,industrial,industrial
onsiteBTM,Renewables,residential,residential
Bowen,Bowen,efficiency_losses,Energy Losses
Bowen,Bowen,elec_own_use,elec_own_use
Jack McDonough,Jack McDonough,efficiency_losses,Energy Losses
Jack McDonough,Jack McDonough,elec_own_use,elec_own_use
Yates,Yates,efficiency_losses,Energy Losses
Yates,Yates,elec_own_use,elec_own_use
electricity,electricity,industrial,industrial
electricity,electricity,publicWatSup,publicWatSup
electricity,electricity,agricultural,agricultural
electricity,electricity,residential,residential
Biomass,Biomass,Distributed-scale Generation,Small-scale generation
Biomass,Biomass,commercial,commercial
Biomass,Biomass,industrial,industrial
Biomass,Biomass,residential,residential
Biomass,Biomass,transport,transport
Bowen Plant,Bowen Plant,electricity,electricity
Coal,Coal,Bowen Plant,Bowen Plant
Coal,Coal,industrial,industrial
Distributed-scale Generation,Small-scale generation,electricity,electricity
Energy Storage,Energy Storage,Distributed-scale Generation,Small-scale generation
Geothermal,Renewables,commercial,commercial
Geothermal,Renewables,industrial,industrial
Geothermal,Renewables,residential,residential
Hydroelectric Water,Renewables,Utility-scale Generation,Small-scale generation
Jack McDonough,Jack McDonough,electricity,electricity
Natural Gas,Natural Gas,Distributed-scale Generation,Small-scale generation
Natural Gas,Natural Gas,Jack McDonough,Jack McDonough
Natural Gas,Natural Gas,Yates Plant,Yates Plant
Natural Gas,Natural Gas,commercial,commercial
Natural Gas,Natural Gas,industrial,industrial
Natural Gas,Natural Gas,residential,residential
Natural Gas,Natural Gas,transport,transport
On-Site Backup Generation,Small-scale generation,commercial,commercial
Petroleum,Petroleum,Bowen Plant,Bowen Plant
Petroleum,Petroleum,Distributed-scale Generation,Small-scale generation
Petroleum,Petroleum,Jack McDonough,Jack McDonough
