county_o,target_o,County,Facility_Name,Matched_Target
Bartow,CARTERSVILLE JAMES R. STAFFORD WPCP,Bartow,Adairsville North WPCP,ADAIRSVILLE NORTH WPCP
Bartow,EMERSON HENRY JORDAN WWTP,Bartow,Bartow Southeast WPCP,BARTOW SOUTHEAST WPCP
Bartow,ADAIRSVILLE NORTH WPCP,Bartow,Bartow Two Run WPCP,BARTOW TWO RUN WPCP
Bartow,ADAIRSVILLE SOUTH WPCP,Bartow,Cartersville WPCP,CARTERSVILLE JAMES R. STAFFORD WPCP
Bartow,BARTOW SOUTHEAST WPCP,Bartow,Emerson Henry Jordan WWTP,EMERSON HENRY JORDAN WWTP
Bartow,BARTOW TWO RUN WPCP,Cherokee,Canton WPCP,CANTON WPCP
Cherokee,CCWSA ROSE CREEK WPCP,Cherokee,CCWSA Fitzgerald Creek WPCP,CCWSA FITZGERALD CREEK WPCP
Cherokee,CCWSA FITZGERALD CREEK WPCP,Cherokee,CCWSA Riverbend WWTP,CCWSA RIVER BEND ENVIR. COMPLEX
Cherokee,CCWSA ROSE CREEK - REUSE,Cherokee,CCWSA Rose Creek WPCP,CCWSA ROSE CREEK WPCP
Cherokee,CCWSA RIVER BEND ENVIR. COMPLEX,Cherokee,Woodstock Rubes Creek WPCP,WOODSTOCK RUBES CREEK WRF
Cherokee,WOODSTOCK RUBES CREEK WRF,Clayton,Clayton Shoal Creek WRF,CLAYTON SHOAL CREEK WRF
Cherokee,CANTON WPCP,Clayton,Clayton W.B. Casey WRF,CLAYTON W.B. CASEY WRF
Cherokee,Fulton Co Little River WRF,Clayton,Clayton Northeast WRF,CLAYTON NORTHEAST WRF
Cherokee,CANTON WPCP SECOND ROW,Cobb,Cobb South Cobb WRF,COBB SOUTH COBB WRF
Clayton,CLAYTON W.B. CASEY WRF,Cobb,Cobb R.L. Sutton WRF,COBB RL SUTTON WRF
Clayton,CLAYTON NORTHEAST WRF,Cobb,Cobb Noonday Creek WPCP,COBB NOONDAY CREEK WRF
Clayton,CLAYTON SHOAL CREEK WRF,Cobb,Cobb Northwest WRF,COBB NORTHWEST WRF
Cobb,COBB NOONDAY CREEK WRF,Coweta,Coweta Arnall/Sargent WPCP,COWETA ARNALL/SARGENT WPCP
Cobb,COBB NORTHWEST WRF,Coweta,Coweta Arnco WPCP,COWETA ARNCO WPCP
Cobb,COBB RL SUTTON WRF,Coweta,Coweta Grantville Ponds,GRANTVILLE PONDS
Cobb,COBB SOUTH COBB WRF,Coweta,Grantville Colley Street LAS,GRANTVILLE COLLEY STREET LAS
Coweta,COWETA SHENANDOAH WPCP,Coweta,Newnan Mineral Springs WPCP,NEWNAN MINERAL SPRINGS
Coweta,COWETA ARNCO WPCP,Coweta,Newnan Wahoo Creek WPCP,NEWNAN WAHOO CREEK
Coweta,COWETA ARNALL/SARGENT WPCP,Coweta,Coweta Shenandoah WPCP,COWETA SHENANDOAH WPCP
Coweta,NEWNAN WAHOO CREEK,Coweta,Senoia LAS,SENOIA LAS
Coweta,NEWNAN MINERAL SPRINGS,DeKalb,Pole Bridge Creek,Pole Bridge Creek
Coweta,SENOIA LAS,DeKalb,Snapfinger Creek,Snapfinger Creek
Coweta,GRANTVILLE COLLEY STREET LAS,Douglas,Douglas Rebel Trails WPCP,Douglas Rebel Trails WPCP
Coweta,GRANTVILLE PONDS,Douglas,Douglasville South Central WPCP,Douglas SouthCentral WPCP
DeKalb,Pole Bridge Creek,Douglas,Douglas Northside WPCP,Douglas Northside WPCP
DeKalb,Snapfinger Creek,Douglas,Douglas Sweetwater Creek WPCP,Douglas Sweetwater Creek WPCP
Douglas,Douglas SouthCentral WPCP,Douglas,Douglas South Central UWRF,Douglas South Central Urban Water Reuse Facility
Douglas,Douglas Sweetwater Creek WPCP,Douglas,Villa Rica North Sweetwater WPCP,Villa Rica North Sweetwater WPCP
Douglas,Douglas Northside WPCP,Douglas,Villa Rica West WPCP,Villa Rica Tallapoosa West WPCP(1/2 assumed from Douglas Co)
Douglas,Douglas Rebel Trails WPCP,Fayette,Fayetteville Whitewater Creek WPCP,FAYETTEVILLE WHITEWATER CREEK WPCP
Douglas,Douglas Southside WPCP,Fayette,Peachtree City Rockaway WRF,PEACHTREE CITY ROCKAWAY WWTP
Douglas,Douglas South Central Urban Water Reuse Facility,Fayette,Peachtree City Larry B. Turner WRF,PEACHTREE CITY LINE CREEK / LARRY B. TURNER WWTP
Douglas,Douglas Beaver Estates WPCP,Forsyth,Cumming Bethelview Road AWRF,Cumming Bethelview Rd AWRF
Douglas,Douglas St. Andrews LAS,Forsyth,Forsyth Dick Creek WRF,Forsyth Dick Creek
Douglas,Villa Rica North Sweetwater WPCP,Forsyth,Forsyth Fowler WRF,Forsyth Fowler WRF + Shakerag WRF
Douglas,Villa Rica Tallapoosa West WPCP(1/2 assumed from Douglas Co),Forsyth,Forsyth James Creek,Forsyth James Creek
Fayette,FAYETTEVILLE WHITEWATER CREEK WPCP,Forsyth,Forsyth Shakerag WRF,Forsyth Fowler WRF + Shakerag WRF
Fayette,PEACHTREE CITY ROCKAWAY WWTP,Forsyth,Forsyth The Manor WRF,Forsyth Manor
