county,basin,facility_name,target,receiving_type,permit,permitted_capacity
Bartow,Coosa_Etowah Basin,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek,Creek,2,1
Bartow,Coosa_Etowah Basin,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek,Creek,NA,0.5
Fulton,Chattahoochee Basin,Atlanta RM Clayton WRC,Chattahoochee River,River,NA,100
DeKalb,Chattahoochee Basin,Atlanta RM Clayton WRC,Chattahoochee River,River,NA,100
Fayette,Chattahoochee Basin,Atlanta RM Clayton WRC,Chattahoochee River,River,NA,100
Fulton,Chattahoochee Basin,Atlanta South River WRC,Chattahoochee River,River,NA,40
Clayton,Chattahoochee Basin,Atlanta South River WRC,Chattahoochee River,River,NA,40
DeKalb,Chattahoochee Basin,Atlanta South River WRC,Chattahoochee River,River,NA,40
Fulton,Chattahoochee Basin,Atlanta Utoy Creek WRC,Chattahoochee River,River,NA,48
Bartow,Coosa_Etowah Basin,BARTOW SOUTHEAST WPCP,Etowah River,River,0.1,0.1
Bartow,Coosa_Etowah Basin,BARTOW TWO RUN WPCP,Two Run Creek,Creek,0.1,0.1
Gwinnett,Chattahoochee Basin,Buford Southside WPCP,Little Suwanee Creek,Creek,2,2
Gwinnett,Chattahoochee Basin,Buford Westside WPCP,Richland Creek,Creek,0.25,0.25
Cherokee,Coosa_Etowah Basin,CANTON WPCP,Etowah River,River,4,4
Cherokee,Coosa_Etowah Basin,CANTON WPCP SECOND ROW,Etowah River,River,NA,0
Bartow,Coosa_Etowah Basin,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River,River,15,15
Cherokee,Coosa_Etowah Basin,CCWSA FITZGERALD CREEK WPCP,Little River to Allatoona Lake,Lake,6,5
Cherokee,Coosa_Etowah Basin,CCWSA RIVER BEND ENVIR. COMPLEX,Etowah River,River,1,0
Cherokee,Coosa_Etowah Basin,CCWSA ROSE CREEK - REUSE,Reuse,Reuse,NA,0
Cherokee,Coosa_Etowah Basin,CCWSA ROSE CREEK WPCP,Etowah River Arm of Allatoona Lake,River,6,6
Clayton,Ocmulgee Basin,CLAYTON NORTHEAST WRF,Panther Creek,Creek,64,10
DeKalb,Ocmulgee Basin,CLAYTON NORTHEAST WRF,Panther Creek,Creek,64,10
Clayton,Flint Basin,CLAYTON SHOAL CREEK WRF,"Shoal Creek Reservoir, Tributary to Flint River",Reservoir,4.4,4.4
Clayton,Flint Basin,CLAYTON W.B. CASEY WRF,Flint River,River,6.6,24
Clayton,Ocmulgee Basin,CLAYTON W.B. CASEY WRF,Huie Constructed Wetlands to Shamrock Lake,Wetland,17.4,24
Fulton,Flint Basin,CLAYTON W.B. CASEY WRF,Flint River,River,6.6,24
Henry,Flint Basin,CLAYTON W.B. CASEY WRF,Flint River,River,6.6,24
Cobb,Coosa_Etowah Basin,COBB NOONDAY CREEK WRF,Noonday Creek Tributary,Creek,20,20
Cherokee,Coosa_Etowah Basin,COBB NOONDAY CREEK WRF,Noonday Creek Tributary,Creek,20,20
Cobb,Coosa_Etowah Basin,COBB NORTHWEST WRF,Allatoona Lake,Lake,12,12
Bartow,Coosa_Etowah Basin,COBB NORTHWEST WRF,Allatoona Lake,Lake,12,12
Paulding,Coosa_Etowah Basin,COBB NORTHWEST WRF,Allatoona Lake,Lake,12,12
Cobb,Chattahoochee Basin,COBB RL SUTTON WRF,Chattahoochee River,River,50,40
Cherokee,Chattahoochee Basin,COBB RL SUTTON WRF,Chattahoochee River,River,50,40
DeKalb,Chattahoochee Basin,COBB RL SUTTON WRF,Chattahoochee River,River,50,40
Douglas,Chattahoochee Basin,COBB RL SUTTON WRF,Chattahoochee River,River,50,40
Fulton,Chattahoochee Basin,COBB RL SUTTON WRF,Chattahoochee River,River,50,40
Cobb,Chattahoochee Basin,COBB SOUTH COBB WRF,Chattahoochee River,River,40,40
Douglas,Chattahoochee Basin,COBB SOUTH COBB WRF,Chattahoochee River,River,40,40
Paulding,Chattahoochee Basin,COBB SOUTH COBB WRF,Chattahoochee River,River,40,40
Coweta,Chattahoochee Basin,COWETA ARNALL/SARGENT WPCP,Wahoo Creek,Creek,0.06,0.06
Coweta,Chattahoochee Basin,COWETA ARNCO WPCP,Wahoo Creek,Creek,0.1,0.1
Coweta,Flint Basin,COWETA SHENANDOAH WPCP,"White Oak Creek, Tributary to Flint River",Creek,2,2
Fulton,Chattahoochee Basin,Camp Creek WRF,Chattahoochee River,River,24,24
Forsyth,Chattahoochee Basin,Cumming Bethelview Rd AWRF,Big Creek,Creek,8,8
Paulding,Tallapoosa Basin,Dallas North WPCP,Trinity River,River,NA,0.5
Paulding,Coosa_Etowah Basin,Dallas Pumpkinvine Ck WPCP,Pumpkinvine Creek,Creek,1.5,1.5
Paulding,Tallapoosa Basin,Dallas West WPCP,Trinity River,River,NA,0.9
Douglas,Chattahoochee Basin,Douglas Beaver Estates WPCP,Chattahoochee River,River,NA,0
Douglas,Chattahoochee Basin,Douglas Northside WPCP,Gothards Creek to Sweetwater Creek,Creek,0.6,0.6
Douglas,Chattahoochee Basin,Douglas Northside WPCP,Gothards Creek to Sweetwater Creek,Creek,0.6,0.6
Douglas,Chattahoochee Basin,Douglas Rebel Trails WPCP,Anneewakee Creek Tributary,Creek,0.04,0.04
Douglas,Chattahoochee Basin,Douglas South Central Urban Water Reuse Facility,Reuse,Reuse,0.5,0
Douglas,Chattahoochee Basin,Douglas SouthCentral WPCP,Chattahoochee River,River,6,6
Douglas,Chattahoochee Basin,Douglas Southside WPCP,Chattahoochee River,River,6,6
Cobb,Chattahoochee Basin,Douglas SouthCentral WPCP,Chattahoochee River,River,6,6
Douglas,Chattahoochee Basin,Douglas St. Andrews LAS,Land Application,Land,NA,0
Douglas,Chattahoochee Basin,Douglas Sweetwater Creek WPCP,Chattahoochee River,River,3,3
Bartow,Coosa_Etowah Basin,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek,Creek,0.45,0.45
Fayette,Flint Basin,FAYETTEVILLE WHITEWATER CREEK WPCP,Whitewater Creek,Creek,5,5
Hall,Chattahoochee Basin,FLOWERY BRANCH WPCP,Lake Lanier,Lake,0.4,0.4
Forsyth,Chattahoochee Basin,Forsyth Dick Creek,Dick Creek,Creek,0.76,0.76
Forsyth,Chattahoochee Basin,Forsyth Fowler WRF + Shakerag WRF,"Big Creek, Chattahoochee River, Land Application, Reuse",Creek,5,3.75
Forsyth,Chattahoochee Basin,Forsyth Fowler WRF + Shakerag WRF,Chattahoochee River,River,1.25,3.75
Forsyth,Chattahoochee Basin,Forsyth James Creek,"James Creek, Reuse",Reuse,2.55,1
Forsyth,Coosa_Etowah Basin,Forsyth Manor,Reuse,Reuse,0.5,0.5
Forsyth,Coosa_Etowah Basin,Forsyth Parkstone,Land Application,Land,0.1,0.1
Forsyth,Chattahoochee Basin,Forsyth Windermere,Chattahoochee River,River,NA,0.55
