Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
7140,Georgia Power Co,700,Atkinson,5551 South Cobb Drive,Smyrna,GA,30080,Cobb,33.817500,-84.480278,SERC,,,Chattahoochee River,22,RE,1,Electric Utility,N,,N,,N,,,X,,, ,, , , ,N,,,,,,,
7140,Georgia Power Co,703,Bowen,"317 Covered Bridge Road, SW",Cartersville,GA,30120,Bartow,34.125600,-84.922200,SERC,SOCO,"Southern Company Services, Inc. - Trans",Etowah River,22,RE,1,Electric Utility,N,,N,,N,,Y,N,OP,Georgia Power Co,7140,GA,500.00,230.00, ,N,,,,,,X,X
7140,Georgia Power Co,710,Jack McDonough,5551 South Cobb Drive,Smyrna,GA,30080,Cobb,33.823900,-84.475800,SERC,SOCO,"Southern Company Services, Inc. - Trans",Chattahoochee River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,230.00, , ,N,ATLANTA GAS LT CO,SOUTHERN NATURAL GAS COMPANY,,,,N,X
7140,Georgia Power Co,717,Morgan Falls,380 Morgan Falls Road,Dunwoody,GA,30350,Fulton,33.968100,-84.384100,SERC,SOCO,"Southern Company Services, Inc. - Trans",Chattahoochee River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,20.00, , ,N,,,,,,X,X
7140,Georgia Power Co,728,Yates,708 Dyer Road,Newnan,GA,30264,Coweta,33.462200,-84.898600,SERC,SOCO,"Southern Company Services, Inc. - Trans",Chattahoochee River,22,RE,1,Electric Utility,N,,N,,N,,Y,N,OP,Georgia Power Co,7140,GA,230.00, , ,N,,TRANSCONTINENTAL GAS PIPELINE,,,,N,X
27813,USCE-Mobile District,759,Buford,7000 Powerhouse Road,Buford,GA,30518,Forsyth,34.162279,-84.077367,SERC,SOCO,"Southern Company Services, Inc. - Trans",Chattahoochee River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,115.00, , ,N,,,,,,N,X
27813,USCE-Mobile District,760,Allatoona,585 Allatoona Dam Road,Cartersville,GA,30120,Bartow,34.163700,-84.728200,SERC,SOCO,"Southern Company Services, Inc. - Trans",Etowah River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,115.00, , ,N,,,,,,N,X
61186,"DCII-250 Williams Street NW, LLC",54290,Inforum,250 Williams St,Atlanta,GA,30303,Fulton,33.753300,-84.388900,SERC,SOCO,"Southern Company Services, Inc. - Trans",,53,NR,4,Commercial Non-CHP,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,4.00, , ,N,,,,,,X,X
66489,RREF IV-P CP III Marietta Street LLC,54323,CNN Center,190 Marietta St NW,Atlanta,GA,30303,Fulton,33.759167,-84.395000,SERC,SOCO,"Southern Company Services, Inc. - Trans",N/A,515,NR,4,Commercial Non-CHP,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,19.80, , ,N,,,,,,N,X
54842,WM Renewable Energy LLC,54392,BJ Gas Recovery,6461 Corley Road,Norcross,GA,30071,Gwinnett,33.930000,-84.237800,SERC,SOCO,"Southern Company Services, Inc. - Trans",,22,NR,2,IPP Non-CHP,N,,Y,93-12-000,N,,N,X,,Georgia Transmission Corp,7197,GA,25.00, , ,N,,,,,,X,X
64432,"SWVP Alpharetta Owners, LLC",54457,Hewlett Packard Enterprise,5555 Windward Parkway,Alpharetta,GA,30004,Fulton,34.086400,-84.267700,SERC,SOCO,"Southern Company Services, Inc. - Trans",,519,NR,4,Commercial Non-CHP,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,25.00, , ,N,,,,,,N,X
17069,Shepherd Center,54813,Shepherd Center,2020 Peachtree Road,Atlanta,GA,30309,Fulton,33.811100,-84.392800,SERC,SOCO,"Southern Company Services, Inc. - Trans",,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,480.00, , ,N,,,,,,X,X
56107,Highwoods Properties,54816,Riverwood 100 Building,3350 Riverwood Pkwy,Atlanta,GA,30339,Cobb,33.877500,-84.460300,SERC,SOCO,"Southern Company Services, Inc. - Trans",,53,NR,4,Commercial Non-CHP,N,,N,,N,,,X,,Georgia Power Co,7140,GA,480.00, , ,N,,,,,,,
21260,"Banyan St./GAP 191 Peachtree Owner, LLC",54818,191 Peachtree Tower,191 Peachtree Street NE,Atlanta,GA,30303,Fulton,33.758300,-84.386900,SERC,SOCO,"Southern Company Services, Inc. - Trans",Miscellaneous Service,53,NR,4,Commercial Non-CHP,N,,N,,N,,,X,,Georgia Power Co,7140,GA,0.48, , ,N,,,,,,,
50109,DeKalb Regional Health System,54830,Emory Decatur Hospital,2701 North Decatur Road,Decatur,GA,30033,DeKalb,33.791900,-84.283100,SERC,SOCO,"Southern Company Services, Inc. - Trans",NA,622,NR,4,Commercial Non-CHP,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,14.00, , ,N,,,,,,,
