data_status,msn,statecode,year,data
2024,ABICB,GA,2020,0
2024,ABICB,GA,2021,0
2024,ABICB,GA,2022,0
2024,ABICB,GA,2023,0
2024,ABICB,GA,2024,0
2024,ABICP,GA,2020,0
2024,ABICP,GA,2021,0
2024,ABICP,GA,2022,0
2024,ABICP,GA,2023,0
2024,ABICP,GA,2024,0
2024,ARICB,GA,2020,25529
2024,ARICB,GA,2021,26682
2024,ARICB,GA,2022,26482
2024,ARICB,GA,2023,32533
2024,ARICB,GA,2024,28910
2024,ARICD,GA,2020,12.23
2024,ARICD,GA,2021,13.28
2024,ARICD,GA,2022,18.73
2024,ARICD,GA,2023,17.21
2024,ARICD,GA,2024,16.31
2024,ARICE,GA,2020,0
2024,ARICE,GA,2021,0
2024,ARICE,GA,2022,0
2024,ARICE,GA,2023,0
2024,ARICE,GA,2024,0
2024,ARICP,GA,2020,3847
2024,ARICP,GA,2021,4021
2024,ARICP,GA,2022,3991
2024,ARICP,GA,2023,4903
2024,ARICP,GA,2024,4356
2024,ARICV,GA,2020,312.3
2024,ARICV,GA,2021,354.3
2024,ARICV,GA,2022,496.1
2024,ARICV,GA,2023,559.8
2024,ARICV,GA,2024,471.6
2024,ARTCB,GA,2020,25529
2024,ARTCB,GA,2021,26682
2024,ARTCB,GA,2022,26482
2024,ARTCB,GA,2023,32533
2024,ARTCB,GA,2024,28910
2024,ARTCD,GA,2020,12.23
2024,ARTCD,GA,2021,13.28
2024,ARTCD,GA,2022,18.73
2024,ARTCD,GA,2023,17.21
2024,ARTCD,GA,2024,16.31
2024,ARTCE,GA,2020,0
2024,ARTCE,GA,2021,0
2024,ARTCE,GA,2022,0
2024,ARTCE,GA,2023,0
2024,ARTCE,GA,2024,0
2024,ARTCP,GA,2020,3847
2024,ARTCP,GA,2021,4021
2024,ARTCP,GA,2022,3991
2024,ARTCP,GA,2023,4903
2024,ARTCP,GA,2024,4356
2024,ARTCV,GA,2020,312.3
2024,ARTCV,GA,2021,354.3
2024,ARTCV,GA,2022,496.1
2024,ARTCV,GA,2023,559.8
2024,ARTCV,GA,2024,471.6
2024,ARTXB,GA,2020,25529
2024,ARTXB,GA,2021,26682
2024,ARTXB,GA,2022,26482
2024,ARTXB,GA,2023,32533
2024,ARTXB,GA,2024,28910
2024,ARTXD,GA,2020,12.23
2024,ARTXD,GA,2021,13.28
2024,ARTXD,GA,2022,18.73
2024,ARTXD,GA,2023,17.21
2024,ARTXD,GA,2024,16.31
2024,ARTXP,GA,2020,3847
2024,ARTXP,GA,2021,4021
2024,ARTXP,GA,2022,3991
2024,ARTXP,GA,2023,4903
2024,ARTXP,GA,2024,4356
2024,ARTXV,GA,2020,312.3
2024,ARTXV,GA,2021,354.3
2024,ARTXV,GA,2022,496.1
2024,ARTXV,GA,2023,559.8
2024,ARTXV,GA,2024,471.6
2024,AVACB,GA,2020,636
2024,AVACB,GA,2021,717
2024,AVACB,GA,2022,742
2024,AVACB,GA,2023,704
2024,AVACB,GA,2024,757
2024,AVACD,GA,2020,22.34
2024,AVACD,GA,2021,28.86
2024,AVACD,GA,2022,36.02
2024,AVACD,GA,2023,32.62
