Class,County,2018,2019,2020,2021,2022,2023,2024,units
residential,Bartow ,17785,18506,19598,50434,344117,312002,739258,kWh Gen
residential,Cherokee ,2230,3229,16357,23023,120011,130860,286116,kWh Gen
residential,Clayton ,5416,24298,37707,233876,1246527,1182806,1996111,kWh Gen
residential,Cobb ,25627,30767,20442,123312,448532,406840,790197,kWh Gen
residential,Coweta ,7289,10678,9715,25044,57968,56060,144051,kWh Gen
residential,Dekalb ,317109,386115,318873,1139317,2481621,2324620,3829286,kWh Gen
residential,Douglas ,1476,1999,996,2632,77491,75851,147962,kWh Gen
residential,Fayette ,735,3834,13471,18966,83260,86743,153757,kWh Gen
residential,Forsyth ,2373,1650,,14007,59913,65849,137928,kWh Gen
residential,Fulton ,124281,217951,206653,451550,1385423,1334931,2336356,kWh Gen
residential,Gwinnett ,18307,38337,36534,215327,938025,841040,1661933,kWh Gen
residential,Hall ,12638,13608,11579,54337,200355,186819,347757,kWh Gen
residential,Henry ,7769,19511,21913,113965,575351,550034,1180887,kWh Gen
residential,Paulding ,192,4231,2459,4263,34275,40759,73922,kWh Gen
residential,Rockdale ,,,606,12242,73079,65997,105140,kWh Gen
commercial,Bartow ,,,,,,2649,11058,kWh Gen
commercial,Cherokee ,,,,,1975,6128,70355,kWh Gen
commercial,Clayton ,,8760,38280,71448,130398,108311,133798,kWh Gen
commercial,Cobb ,44880,54460,30960,297760,326280,271340,387190,kWh Gen
commercial,Dekalb ,193177,266751,244360,583776,653032,630983,1473196,kWh Gen
commercial,Douglas ,,,,,,,2266,kWh Gen
commercial,Fayette ,,,,,24567,41636,72801,kWh Gen
commercial,Fulton ,41311,44819,57693,513810,583188,498898,686044,kWh Gen
commercial,Gwinnett ,56070,53487,27984,460114,758945,825795,748947,kWh Gen
commercial,Hall ,,,1520,6480,5182,6593,2080,kWh Gen
commercial,Henry ,7611,36743,49894,126392,148602,126889,172309,kWh Gen
industrial,Bartow ,,,,44640,214000,174080,169440,kWh Gen
industrial,Cherokee ,2705,2697,1087,1711,3805,3110,2287,kWh Gen
industrial,Cobb ,31080,29520,17940,20460,28200,28560,30480,kWh Gen
industrial,Fayette ,,,,34238,35903,33730,38068,kWh Gen
industrial,Fulton ,,800,800,25840,27920,26981,33996,kWh Gen
industrial,Hall ,,,,62800,59680,49840,38080,kWh Gen
