month,year,residential,commercial,industrial,government,transport,units
January,2020,2343073,2598092,1917734,28344,13441,MWh
February,2020,2168136,2413114,1736165,28307,13657,MWh
March,2020,1898006,2382270,1810917,28255,13859,MWh
April,2020,1698741,2060020,1590693,28176,10631,MWh
May,2020,2085101,2358555,1696871,27328,10124,MWh
June,2020,2556739,2627146,1811411,27189,11126,MWh
July,2020,3277237,3032943,1933246,27068,11296,MWh
August,2020,3030963,2997182,1989030,27019,11296,MWh
September,2020,2319728,2692080,1898144,26999,12090,MWh
October,2020,1835181,2528694,1994705,26795,10242,MWh
November,2020,1837844,2283094,1851396,26828,10246,MWh
December,2020,2777862,2502459,1810083,26812,12601,MWh
January,2021,2713804,2516370,1847174,26744,12682,MWh
February,2021,2374259,2313118,1741775,26699,12010,MWh
March,2021,1911702,2394523,1936341,26599,12998,MWh
April,2021,1752523,2346805,1869202,26595,10919,MWh
May,2021,2075281,2580494,1929971,26541,10644,MWh
June,2021,2607769,2810762,2025943,26521,11983,MWh
July,2021,2970214,3053987,2085173,26449,11907,MWh
August,2021,3032688,3159924,2084440,26422,12188,MWh
September,2021,2247626,2762575,1939687,26274,12832,MWh
October,2021,1895141,2610367,2025984,25813,11059,MWh
November,2021,2119688,2373353,1933995,25681,11203,MWh
December,2021,2167079,2422474,1853017,25497,12554,MWh
January,2022,2953237,2667855,1973640,25943,12316,MWh
February,2022,2162611,2301838,1824321,25465,13456,MWh
March,2022,1906322,2465272,1926914,25229,11286,MWh
April,2022,1749433,2382427,1926516,25173,11320,MWh
May,2022,2334274,2789577,2072155,25135,11766,MWh
June,2022,3010111,3051707,2037601,25095,11744,MWh
July,2022,3249063,3235742,2111208,25044,12368,MWh
August,2022,2945425,3180168,2145810,24916,12702,MWh
September,2022,2278892,2845464,1955001,24873,12171,MWh
October,2022,1730231,2491294,2028353,24858,11566,MWh
November,2022,2003839,2455169,1892637,24762,10508,MWh
December,2022,2762198,2708167,1956977,24852,12488,MWh
January,2023,2448741,2524167,1833506,24790,12950,MWh
February,2023,1906001,2326816,1784967,24737,12679,MWh
March,2023,1968476,2565367,1984478,23945,11477,MWh
April,2023,1761309,2413498,1905323,23913,11090,MWh
May,2023,2025906,2697196,2051301,23830,11441,MWh
June,2023,2447249,2839893,2034526,23219,11262,MWh
July,2023,3268441,3270993,2083991,23052,11991,MWh
August,2023,3196103,3339426,2122461,21229,13178,MWh
September,2023,2307262,2924136,1964597,23780,12639,MWh
October,2023,1757084,2618830,1956751,22564,11394,MWh
November,2023,1986595,2472955,1933089,22511,10858,MWh
December,2023,2549518,2613889,1820998,22501,13164,MWh
January,2024,3002822,2824885,1877083,22187,12962,MWh
February,2024,2180474,2485346,1872258,22105,13510,MWh
March,2024,1863603,2536087,1957084,21940,12231,MWh
April,2024,1862133,2652939,1936196,21852,11512,MWh
May,2024,2181870,2808707,2062257,21771,12759,MWh
June,2024,2997512,3099450,1995817,21606,12270,MWh
July,2024,3208926,3377226,2095930,21491,14064,MWh
August,2024,3163794,3379239,2152662,21275,13080,MWh
September,2024,2183600,2800071,1916101,21151,12789,MWh
October,2024,1918085,2798208,2022604,21127,12824,MWh
November,2024,1856040,2558136,1924052,21028,11163,MWh
December,2024,2694500,2727817,1842280,20929,12506,MWh
January,2025,3469560,2992830,1906475,20930,15215,MWh
February,2025,2131443,2521454,1806586,20827,13721,MWh
March,2025,1930323,2635045,1993994,20744,13211,MWh
