kind,county,name,id,capacity,capacity_units,detail,lat,lon,coord_source,water_source,permit_basin,permit_city,site_shared,coord_decimals
power plant,Bartow,Bowen,703,3498.6,MW,Conventional Steam Coal,34.1256,-84.9222,EIA-860 schedule 2,Etowah River,NA,NA,NA,4
power plant,Bartow,Allatoona,760,86.6,MW,Conventional Hydroelectric,34.1637,-84.7282,EIA-860 schedule 2,Etowah River,NA,NA,NA,4
power plant,Bartow,Bartow Davidson,66980,2.6,MW,Solar Photovoltaic,34.25745,-84.831486,EIA-860 schedule 2,NA,NA,NA,NA,5
power plant,Cobb,Jack McDonough,710,2848.4000000000005,MW,Natural Gas Fired Combined Cycle; Petroleum Liquids,33.8239,-84.4758,EIA-860 schedule 2,Chattahoochee River,NA,NA,NA,4
power plant,Cobb,Solar BESS Hybrid,63535,3.5,MW,Batteries; Natural Gas Fired Combustion Turbine; Solar Photovoltaic,33.979348,-84.556128,EIA-860 schedule 2,NA,NA,NA,NA,6
power plant,Cobb,Riverwood 100 Building,54816,1.1,MW,Petroleum Liquids,33.8775,-84.4603,EIA-860 schedule 2,NA,NA,NA,NA,4
power plant,Coweta,Yates,728,807.4,MW,Natural Gas Steam Turbine,33.4622,-84.8986,EIA-860 schedule 2,Chattahoochee River,NA,NA,NA,4
power plant,DeKalb,Emory Decatur Hospital,54830,3.9000000000000004,MW,Petroleum Liquids,33.7919,-84.2831,EIA-860 schedule 2,NA,NA,NA,NA,4
power plant,DeKalb,Emory Hillandale Hospital,56231,1.6,MW,Petroleum Liquids,33.7036,-84.1494,EIA-860 schedule 2,NA,NA,NA,NA,4
power plant,DeKalb,Laredo Bus Facility Solar Canopies,58064,1,MW,Solar Photovoltaic,33.783333,-84.267778,EIA-860 schedule 2,NA,NA,NA,NA,6
power plant,DeKalb,Hickory Ridge Landfill Solar Project,59459,1,MW,Solar Photovoltaic,33.665,-84.336111,EIA-860 schedule 2,0,NA,NA,NA,3
power plant,Douglas,"Turnipseed Solar, LLC",66205,3,MW,Solar Photovoltaic,33.69915,-84.678913,EIA-860 schedule 2,NA,NA,NA,NA,5
power plant,Forsyth,Buford,759,131.2,MW,Conventional Hydroelectric,34.162279,-84.077367,EIA-860 schedule 2,Chattahoochee River,NA,NA,NA,6
power plant,Fulton,Morgan Falls,717,16.8,MW,Conventional Hydroelectric,33.9681,-84.3841,EIA-860 schedule 2,Chattahoochee River,NA,NA,NA,4
power plant,Fulton,CNN Center,54323,13,MW,Petroleum Liquids,33.759167,-84.395,EIA-860 schedule 2,N/A,NA,NA,NA,3
power plant,Fulton,State Farm Support Center East,55274,10.8,MW,Petroleum Liquids,34.086,-84.245,EIA-860 schedule 2,Municipality,NA,NA,NA,3
power plant,Fulton,Hewlett Packard Enterprise,54457,8,MW,Petroleum Liquids,34.0864,-84.2677,EIA-860 schedule 2,NA,NA,NA,NA,4
