county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Bartow,2020,5.430741159,0.569704258,,0.907461205,,5.043949843,,0.05470951,0.031688579,,0.351756926,,2.374956318,7.04288964
Bartow,2021,5.491734751,0.576102705,,0.917653059,,5.100599315,,0.055323962,0.032044478,,0.355707569,,2.401629863,7.12198955
Bartow,2022,5.563371525,0.58361766,,0.929623358,,5.167133935,,0.056045634,0.032462482,,0.360347586,,2.432957853,7.214892136
Bartow,2023,5.641119045,0.591773654,,0.942614744,,5.239344077,,0.056828866,0.032916141,,0.365383405,,2.466958178,7.315719479
Bartow,2024,5.723664674,0.600432987,,0.956407881,,5.316010594,,0.057660434,0.033397798,,0.370730004,,2.503056799,7.422769279
Bartow,2025,5.801747791,0.608624187,,0.969455345,,5.388532432,,0.058447046,0.033853416,,0.37578756,,2.537203886,7.524031844
Bartow,2026,5.88108007,0.616946428,,0.98271154,,5.462214462,,0.059246243,0.034316323,,0.380926026,,2.571897253,7.626914391
Bartow,2027,5.96137371,0.625369519,,0.996128376,,5.536789383,,0.060055125,0.034784839,,0.386126761,,2.60701104,7.731043685
Bartow,2028,6.043134076,0.633946475,,1.009790298,,5.612726566,,0.060878782,0.035261914,,0.391422498,,2.642766251,7.837075113
Bartow,2029,6.121627078,0.642180673,,1.022906252,,5.685629095,,0.061669524,0.035719924,,0.396506602,,2.677092588,7.938869238
Bartow,2030,6.204946947,0.650921227,,1.036828763,,5.763014709,,0.062508891,0.036206098,,0.40190335,,2.713529797,8.046923116
Bartow,2031,6.282428578,0.659049328,,1.04977572,,5.8349779,,0.063289445,0.036658207,,0.406921947,,2.747413844,8.14740564
Bartow,2032,6.364905309,0.667701434,,1.063557344,,5.911580427,,0.064120319,0.037139461,,0.412264084,,2.783482334,8.254366089
Bartow,2033,6.453397374,0.676984569,,1.078344113,,5.99376986,,0.065011791,0.037655816,,0.417995842,,2.822181433,8.369127561
Bartow,2034,6.536143495,0.685664934,,1.092170752,,6.070622589,,0.065845379,0.038138643,,0.423355428,,2.858367732,8.47643737
Bartow,2035,6.618284788,0.694281851,,1.105896325,,6.146913569,,0.066672874,0.03861794,,0.428675837,,2.894289529,8.582962804
Bartow,2036,6.711324307,0.704042031,,1.121442961,,6.233326575,,0.067610158,0.039160829,,0.434702141,,2.934977307,8.703621669
Bartow,2037,6.806301035,0.714005431,,1.137313299,,6.321538817,,0.068566957,0.039715022,,0.440853921,,2.976512261,8.826792816
Bartow,2038,6.902569915,0.724104382,,1.153399551,,6.41095118,,0.069536774,0.040276755,,0.447089395,,3.018612294,8.951639697
Bartow,2039,7.004006753,0.734745471,,1.170349355,,6.505163427,,0.070558653,0.040868642,,0.453659605,,3.062972365,9.083188677
Bartow,2040,7.10969225,0.745832259,,1.188009097,,6.603321731,,0.071623333,0.041485321,,0.460505007,,3.109190446,9.220247555
Bartow,2041,7.21354414,0.756726696,,1.205362448,,6.699777023,,0.072669541,0.042091301,,0.467231643,,3.15460666,9.354928509
Bartow,2042,7.309997618,0.766845012,,1.221479547,,6.789360837,,0.073641217,0.042654111,,0.473479074,,3.196787422,9.480014788
