county,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,total,source
Bartow,2020,0,0.196,0.404,1.113,2.926,3.453,3.861,1.948,1.567,0.41,0.218,0,16.095,total
Clayton,2020,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.006,total
Coweta,2020,0,0.046,0.06,0.201,0.406,0.246,0.209,0.095,0.076,0.06,0.054,0,1.451,total
DeKalb,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,total
Douglas,2020,0,0,0,0.014,0.043,0.057,0.064,0.06,0.047,0.031,0,0,0.316,total
Fayette,2020,0,0,0,0.022,0.067,0.089,0.099,0.092,0.073,0.048,0,0,0.49,total
Forsyth,2020,0,0,0,0.018,0.054,0.071,0.079,0.074,0.059,0.039,0,0,0.393,total
Fulton,2020,0,0,0.03,0.049,0.252,0.343,0.318,0.065,0.052,0.024,0,0,1.132,total
Henry,2020,0,0,0.002,0.039,0.209,0.341,0.544,0.514,0.296,0.075,0,0,2.021,total
Bartow,2020,0.000,0.187,0.392,1.067,2.834,3.388,3.797,1.900,1.529,0.385,0.207,0.000,15.686,surface
Clayton,2020,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.006,surface
Coweta,2020,0.000,0.046,0.060,0.197,0.395,0.231,0.193,0.079,0.064,0.052,0.054,0.000,1.371,surface
DeKalb,2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,surface
Douglas,2020,0.000,0.000,0.000,0.014,0.043,0.057,0.064,0.060,0.047,0.031,0.000,0.000,0.316,surface
Fayette,2020,0.000,0.000,0.000,0.022,0.067,0.089,0.099,0.092,0.073,0.048,0.000,0.000,0.490,surface
Forsyth,2020,0.000,0.000,0.000,0.018,0.054,0.071,0.079,0.074,0.059,0.039,0.000,0.000,0.393,surface
Fulton,2020,0.000,0.000,0.009,0.022,0.099,0.133,0.129,0.051,0.041,0.024,0.000,0.000,0.509,surface
Henry,2020,0.000,0.000,0.002,0.031,0.184,0.307,0.507,0.480,0.269,0.057,0.000,0.000,1.838,surface
Bartow,2020,0.000,0.010,0.012,0.046,0.092,0.065,0.063,0.048,0.038,0.025,0.010,0.000,0.408,ground
Clayton,2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ground
Coweta,2020,0.000,0.000,0.000,0.004,0.011,0.014,0.016,0.015,0.012,0.008,0.000,0.000,0.080,ground
DeKalb,2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ground
Douglas,2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ground
Fayette,2020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,ground
Forsyth,2020,0.000,0.000,0.000,0.018,0.054,0.071,0.079,0.074,0.059,0.039,0.000,0.000,0.393,ground
Fulton,2020,0.000,0.000,0.021,0.027,0.153,0.209,0.188,0.014,0.011,0.000,0.000,0.000,0.624,ground
Henry,2020,0.000,0.000,0.000,0.008,0.025,0.033,0.037,0.035,0.027,0.018,0.000,0.000,0.183,ground
