county,year,Single Family,Multi Family,Residential ,Commercial,Institutional ,Industrial,Municipal,Irrigation,Agricultural,Other ,Self Supplied,New Commercial,NRW,Anheuser-Busch,PERCENT SF SEPTIC,VOL. SEPTIC GENERATED (MG),WASTEWATER INTO COLLECTION SYSTEM (MG),I/I FACTOR,AAD (MGD),PEAKING FACTOR,MMF (MGD),VOL. SEPTIC GENERATED (MGD)
Bartow,2020,1609.863786,171.9389839,,279.2039908,,1524.371962,,0,0,,104.6849372,717.9099003,,0,0.771000258,1321.917509,3086.056052,0.2,10.1459377,0.25,12.68242213,3.621691805
Bartow,2021,1626.529202,173.724497,,282.242204,,1541.437111,,0,0,,105.8606718,725.9728704,,0,0.769697783,1333.416646,3122.349911,0.2,10.26525998,0.25,12.83157498,3.653196289
Bartow,2022,1646.229791,175.8346624,,285.8292864,,1561.49086,,0,0,,107.2415683,735.4428024,,0,0.76819621,1347.010052,3165.058918,0.2,10.40567316,0.25,13.00709145,3.690438499
Bartow,2023,1667.621661,178.1259127,,289.726726,,1583.257878,,0,0,,108.7402577,745.7205366,,0,0.766606415,1361.770442,3211.422529,0.2,10.55810147,0.25,13.19762683,3.730877924
Bartow,2024,1690.340934,180.5591173,,293.8741694,,1606.373727,,0,0,,110.3314372,756.6325508,,0,0.764962446,1377.446741,3260.665195,0.2,10.71999516,0.25,13.39999395,3.773826687
Bartow,2025,1711.628764,182.8398017,,297.7921248,,1628.237098,,0,0,,111.8365957,766.9546489,,0,0.763455876,1392.135344,3307.15369,0.2,10.87283405,0.25,13.59104256,3.814069435
Bartow,2026,1733.19187,185.150084,,301.7752954,,1650.451801,,0,0,,113.3658335,777.4418783,,0,0.761965837,1407.013887,3354.362875,0.2,11.02804233,0.25,13.78505291,3.854832566
Bartow,2027,1754.929999,187.4793897,,305.8054725,,1672.935141,,0,0,,114.9136028,788.0561936,,0,0.760498469,1422.013196,3402.106603,0.2,11.18500801,0.25,13.98126001,3.895926563
Bartow,2028,1776.992998,189.8437005,,309.9098001,,1695.829621,,0,0,,116.4896453,798.8644009,,0,0.759044013,1437.236665,3450.693501,0.2,11.34474576,0.25,14.1809322,3.937634699
Bartow,2029,1797.990783,192.0944799,,313.8476538,,1717.807946,,0,0,,118.0027049,809.2406831,,0,0.757687928,1451.725137,3497.259114,0.2,11.49783818,0.25,14.37229773,3.977329142
Bartow,2030,1820.302871,194.4859249,,318.0331335,,1741.140966,,0,0,,119.6088089,820.2550469,,0,0.756282099,1467.120477,3546.706274,0.2,11.66040419,0.25,14.57550523,4.019508156
Bartow,2031,1840.842825,196.6878913,,321.912297,,1762.831971,,0,0,,121.102373,830.4976323,,0,0.755012447,1481.293046,3592.581944,0.2,11.81122831,0.25,14.76403538,4.058337112
Bartow,2032,1862.94117,199.055447,,326.0453967,,1785.923616,,0,0,,122.6922243,841.4005386,,0,0.753684395,1496.540904,3641.517489,0.2,11.97211229,0.25,14.96514036,4.100112065
Bartow,2033,1886.881817,201.6190441,,330.4864457,,1810.703129,,0,0,,124.3980295,853.0986343,,0,0.752287133,1513.05995,3694.127149,0.2,12.14507556,0.25,15.18134445,4.145369726
Bartow,2034,1909.215189,204.0101795,,334.6326739,,1833.870257,,0,0,,125.9930738,864.0371521,,0,0.751014039,1528.469977,3743.288549,0.2,12.30670208,0.25,15.3833776,4.187588978
Bartow,2035,1931.438158,206.3888732,,338.74722,,1856.867422,,0,0,,127.5764591,874.8957156,,0,0.749777982,1543.803825,3792.110022,0.2,12.46721103,0.25,15.58401379,4.229599522
Bartow,2036,1956.930674,209.1161429,,343.4197859,,1882.922497,,0,0,,129.3699227,887.1949561,,0,0.748403017,1561.393661,3847.560317,0.2,12.64951337,0.25,15.81189171,4.277790852
Bartow,2037,1983.032052,211.908008,,348.1909439,,1909.520898,,0,0,,131.2007285,899.7502836,,0,0.747033925,1579.403612,3904.199302,0.2,12.83572373,0.25,16.04465467,4.327133184
Bartow,2038,2009.546972,214.7436491,,353.0260445,,1936.480759,,0,0,,133.0564424,912.4764253,,0,0.745681117,1597.698907,3961.631386,0.2,13.02454154,0.25,16.28067693,4.377257279
Bartow,2039,2037.596414,217.7429027,,358.1254122,,1964.890554,,0,0,,135.0117757,925.8857388,,0,0.744291138,1617.053022,4022.199775,0.2,13.22367049,0.25,16.52958812,4.430282253
Bartow,2040,2066.904681,220.8763494,,363.4365876,,1994.489442,,0,0,,137.0490077,939.8566982,,0,0.742881184,1637.275727,4085.33704,0.2,13.43124506,0.25,16.78905633,4.485686922
Bartow,2041,2095.723036,223.9569977,,368.6553433,,2023.574766,,0,0,,139.0508944,953.5852664,,0,0.741533794,1657.160391,4147.385912,0.2,13.63524136,0.25,17.04405169,4.540165455
Bartow,2042,2122.384697,226.8070321,,373.494854,,2050.58415,,0,0,,140.9101666,966.3358109,,0,0.740317563,1675.556938,4204.959774,0.2,13.82452528,0.25,17.2806566,4.590566953
Bartow,2043,2149.590785,229.7151244,,378.4295141,,2078.128458,,0,0,,142.8062821,979.3390195,,0,0.739108055,1694.329138,4263.680045,0.2,14.01757823,0.25,17.52197279,4.641997639
Bartow,2044,2176.697245,232.6124656,,383.3472326,,2105.589759,,0,0,,144.6967596,992.3035634,,0,0.737932721,1713.032595,4322.21443,0.2,14.21002004,0.25,17.76252505,4.693239987
Bartow,2045,2203.021587,235.4261359,,388.1293043,,2132.311341,,0,0,,146.5364346,1004.919714,,0,0.736817893,1731.196391,4379.148125,0.2,14.39719932,0.25,17.99649914,4.743003811
Bartow,2046,2228.187484,238.1158588,,392.7096106,,2157.919096,,0,0,,148.2995179,1017.010612,,0,0.735775478,1748.56086,4433.681319,0.2,14.57648653,0.25,18.22060816,4.7905777
Bartow,2047,2252.561249,240.7208674,,397.1525703,,2182.780449,,0,0,,150.0113595,1028.750105,,0,0.73478685,1765.378759,4486.597842,0.2,14.75045866,0.25,18.43807332,4.836654133
Bartow,2048,2277.573182,243.394019,,401.7136709,,2208.285186,,0,0,,151.7673667,1040.792477,,0,0.733794606,1782.636992,4540.88891,0.2,14.92894984,0.25,18.6611873,4.883936964
Bartow,2049,2304.397808,246.2608364,,406.5975127,,2235.574695,,0,0,,153.6461054,1053.676518,,0,0.73275582,1801.145984,4599.007492,0.2,15.12002463,0.25,18.90003079,4.934646532
Bartow,2050,2333.033317,249.3211312,,411.8052495,,2264.652991,,0,0,,155.647834,1067.404003,,0,0.731674479,1820.904485,4660.96004,0.2,15.32370424,0.25,19.1546303,4.988779411
Bartow,2051,2354.875774,251.6553397,,415.660676,,2285.855253,,0,0,,157.105049,1077.397313,,0,0.730887658,1835.97578,4706.573625,0.2,15.47366671,0.25,19.34208339,5.030070631
Bartow,2052,2378.746249,254.2062737,,419.8740694,,2309.026095,,0,0,,158.6975629,1088.318478,,0,0.730044307,1852.446409,4756.422319,0.2,15.63755283,0.25,19.54694104,5.07519564
Bartow,2053,2400.64627,256.5466337,,423.7396564,,2330.284234,,0,0,,160.1586182,1098.338124,,0,0.729285324,1867.557422,4802.156113,0.2,15.78791051,0.25,19.73488814,5.116595678
Bartow,2054,2422.68021,258.9013051,,427.6288818,,2351.672368,,0,0,,161.6286079,1108.419042,,0,0.728535548,1882.760842,4848.169574,0.2,15.93918764,0.25,19.92398455,5.158248881
Bartow,2055,2444.370526,261.2192549,,431.4574537,,2372.726948,,0,0,,163.0756729,1118.342745,,0,0.727810668,1897.727159,4893.465441,0.2,16.08810556,0.25,20.11013195,5.199252491
Bartow,2056,2467.18189,263.6570062,,435.4839026,,2394.86972,,0,0,,164.5975283,1128.779347,,0,0.727062073,1913.467,4941.102394,0.2,16.2447202,0.25,20.30590025,5.242375343
Bartow,2057,2488.899317,265.9778533,,439.31726,,2415.950617,,0,0,,166.0464019,1138.715454,,0,0.726362129,1928.452025,4986.454879,0.2,16.39382426,0.25,20.49228032,5.283430206
Bartow,2058,2511.916014,268.4375477,,443.3799524,,2438.292704,,0,0,,167.5819561,1149.246,,0,0.725633521,1944.333546,5034.520628,0.2,16.55184864,0.25,20.6898108,5.326941222
Bartow,2059,2536.189168,271.0315141,,447.6644228,,2461.854421,,0,0,,169.2013345,1160.351398,,0,0.724879466,1961.082022,5085.210235,0.2,16.7184994,0.25,20.89812426,5.372827459
Bartow,2060,2558.997175,273.4689067,,451.6902791,,2483.993933,,0,0,,170.722966,1170.786464,,0,0.724183962,1976.819547,5132.840177,0.2,16.87509099,0.25,21.09386374,5.415943965
Bartow,2061,2581.971305,275.9240521,,455.745458,,2506.2947,,0,0,,172.2556803,1181.297535,,0,0.723495815,1992.671697,5180.817033,0.2,17.03282312,0.25,21.2910289,5.459374511
Bartow,2062,2606.189437,278.5121386,,460.0202164,,2529.803008,,0,0,,173.8713879,1192.377758,,0,0.722783541,2009.382208,5231.391738,0.2,17.19909613,0.25,21.49887016,5.505156734
Bartow,2063,2628.708487,280.9186517,,463.9950688,,2551.662033,,0,0,,175.3737417,1202.680622,,0,0.722133014,2024.920352,5278.418252,0.2,17.35370384,0.25,21.6921298,5.547726993
Bartow,2064,2651.90804,283.3978871,,468.0900372,,2574.181616,,0,0,,176.9214951,1213.294828,,0,0.721474383,2040.928044,5326.86586,0.2,17.51298365,0.25,21.89122956,5.591583682
Bartow,2065,2675.677372,285.9380123,,472.2855778,,2597.254278,,0,0,,178.5072612,1224.169718,,0,0.720811422,2057.328883,5376.503337,0.2,17.67617535,0.25,22.09521919,5.636517489
Cherokee,2020,3744.540244,568.7841144,,198.8303796,42.84473124,212.3330812,,0,0,147.8662468,208.2837786,0.471085751,,,0.511263124,2020.933157,3103.020505,0.35,11.47692515,0.25,14.34615644,5.536803169
Cherokee,2021,3806.235211,578.1553897,,202.1063048,43.55064014,215.8314767,,0,0,150.302488,211.7154578,0.47884735,,,0.506217884,2033.958486,3174.417329,0.35,11.7409956,0.25,14.6762445,5.572489002
Cherokee,2022,3862.611416,586.7187614,,205.0998104,44.19569219,219.0282732,,0,0,152.5286993,214.8512898,0.485939817,,,0.529657445,2045.860893,3239.658989,0.35,11.98230037,0.25,14.97787546,5.605098338
Cherokee,2023,3914.611897,594.617474,,207.8609706,44.79067755,221.9769456,,0,0,154.5821199,217.7437294,0.492481791,,,0.525426155,2056.839477,3299.836818,0.35,12.2048759,0.25,15.25609488,5.635176651
Cherokee,2024,3964.386724,602.1781168,,210.5039513,45.36019716,224.7994129,,0,0,156.5476528,220.5123708,0.498743764,,,0.521479945,2067.348171,3357.438999,0.35,12.41792506,0.25,15.52240633,5.663967592
Cherokee,2025,4014.391557,609.7736967,,213.1591451,45.93234848,227.6349226,,0,0,158.5222682,223.2938059,0.505034674,,,0.517614038,2077.905425,3415.307354,0.35,12.63195871,0.25,15.78994838,5.692891575
Cherokee,2026,4060.627466,616.7967887,,215.6142137,46.46137607,230.2567166,,0,0,160.3480545,225.8656009,0.51085143,,,0.514124229,2087.666966,3468.814102,0.35,12.82986038,0.25,16.03732547,5.719635522
Cherokee,2027,4109.831255,624.2706924,,218.226873,47.02436189,233.0468033,,0,0,162.2910379,228.6024792,0.517041564,,,0.510496653,2098.055099,3525.755445,0.35,13.04046534,0.25,16.30058168,5.748096162
Cherokee,2028,4153.967802,630.9748978,,220.5704682,47.52936876,235.5495536,,0,0,164.0339236,231.0575007,0.522594208,,,0.507315779,2107.373413,3576.832696,0.35,13.2293812,0.25,16.53672651,5.773625788
