year,source,target,units,value
2020,Basins,Bowen Plant,MGD,25.7
2020,Basins,Jack McDonough Plant,MGD,11.022055
2020,Basins,Yates Plant,MGD,19.1
2020,Basins,industrial,MGD,11.54725
2020,Basins,publicWatSup,MGD,608.418396321053
2020,Biomass,Small-scale generation,PJ,0.80001916
2020,Biomass,commercial,PJ,0.49336187503074674
2020,Biomass,industrial,PJ,100.06812055651565
2020,Biomass,residential,PJ,2.4783854638416054
2020,Biomass,transport,PJ,19.878900488669036
2020,Bowen Plant,Disposal,MGD,16.9
2020,Bowen Plant,Energy Losses,PJ,51.854784841
2020,Bowen Plant,Water Losses,MGD,8.8
2020,Bowen Plant,elec_own_use,PJ,2.854503684000007
2020,Bowen Plant,electricity,PJ,28.686726
2020,Coal,Bowen Plant,PJ,83.09048125
2020,Coal,Jack McDonough,PJ,0
2020,Coal,industrial,PJ,3.8035719974437447
2020,Energy Storage,Small-scale generation,PJ,0
2020,Jack McDonough,Energy Losses,PJ,69.75757897400001
2020,Jack McDonough,elec_own_use,PJ,0.950372855999998
2020,Jack McDonough,electricity,PJ,67.358322
2020,Jack McDonough Plant,Disposal,MGD,2.8220550000000006
2020,Jack McDonough Plant,Water Losses,MGD,8.2
2020,Natural Gas,Jack McDonough,PJ,138.0662675
2020,Natural Gas,On-Site Backup Generation,PJ,0
2020,Natural Gas,Small-scale generation,PJ,0.31612231
2020,Natural Gas,Yates Plant,PJ,25.980390964999998
2020,Natural Gas,commercial,PJ,28.57970924340122
2020,Natural Gas,industrial,PJ,86.83113876309295
2020,Natural Gas,residential,PJ,67.83312349933915
2020,Natural Gas,transport,PJ,4.246219579175241
2020,Petroleum,Bowen Plant,PJ,0.305533275
2020,Petroleum,Jack McDonough,PJ,6.3299999999999995e-6
2020,Petroleum,Small-scale generation,PJ,0.003090095
2020,Petroleum,Yates Plant,PJ,0
2020,Petroleum,commercial,PJ,12.743619918391955
2020,Petroleum,industrial,PJ,40.88839897252026
2020,Petroleum,residential,PJ,4.731864061747406
2020,Petroleum,transport,PJ,450.27732666144146
2020,Renewables,Small-scale generation,PJ,1.9123985675199997
2020,Renewables,commercial,PJ,0.10040810780614934
2020,Renewables,industrial,PJ,0.0038888719108206475
2020,Renewables,residential,PJ,0.40887462211246967
2020,Small-scale generation,commercial,PJ,8.316e-4
2020,Small-scale generation,electricity,PJ,2.2785372
2020,Yates Plant,Disposal,MGD,15.400000000000002
2020,Yates Plant,Energy Losses,PJ,17.240761937
2020,Yates Plant,Water Losses,MGD,3.7
2020,Yates Plant,elec_own_use,PJ,0.6343838280000007
2020,Yates Plant,electricity,PJ,8.105245199999999
2020,agricultural,Water Losses,MGD,1.9522872035021137
2020,agricultural,wastewater,MGD,0
2020,commercial,Water Losses,MGD,38.04330534516276
2020,commercial,energy_services,PJ,64.50803293968771
2020,commercial,rejected_energy,PJ,34.73509465983185
2020,commercial,wastewater,MGD,88.90800557371647
2020,electricity,Bowen Plant,PJ,0.018494288869146006
2020,electricity,Energy Losses,PJ,9.335835862464984
2020,electricity,Jack McDonough Plant,PJ,0.007931714751035605
2020,electricity,Yates Plant,PJ,0.013744782778236918
