county,year,source,target,units,value
Bartow,2020,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8137355318647984
Bartow,2020,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.2758528149744613
Bartow,2020,Allatoona Lake,publicWatSup,MGD,19.456306932928836
Bartow,2020,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009333281395800372
Bartow,2020,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.05862816992352777
Bartow,2020,Basins,Bowen Plant,MGD,25.7
Bartow,2020,Basins,industrial,MGD,1.339056896237311
Bartow,2020,Biomass,commercial,PJ,0.00961750660446657
Bartow,2020,Biomass,industrial,PJ,1.9507097306391348
Bartow,2020,Biomass,residential,PJ,0.04831319518847118
Bartow,2020,Biomass,transport,PJ,0.3875156683466743
Bartow,2020,Bolivar Springs,publicWatSup,MGD,0.6539935103505491
Bartow,2020,Bowen Plant,Disposal,MGD,16.9
Bartow,2020,Bowen Plant,Energy Losses,PJ,51.854784841
Bartow,2020,Bowen Plant,Water Losses,MGD,8.8
Bartow,2020,Bowen Plant,elec_own_use,PJ,2.854503684000007
Bartow,2020,Bowen Plant,electricity,PJ,28.686726
Bartow,2020,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,8.74306110161906
Bartow,2020,Coal,Bowen Plant,PJ,83.09048125
Bartow,2020,Coal,industrial,PJ,0.07414614030259145
Bartow,2020,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek_ds,MGD,0.13729585879769277
Bartow,2020,Etowah River,publicWatSup,MGD,0
Bartow,2020,Lewis Spring,publicWatSup,MGD,2.6159740414021964
Bartow,2020,Moss Springs,publicWatSup,MGD,0.32699675517527454
Bartow,2020,Natural Gas,commercial,PJ,0.557127650743211
Bartow,2020,Natural Gas,industrial,PJ,1.6926704165686814
Bartow,2020,Natural Gas,residential,PJ,1.32232656448339
Bartow,2020,Natural Gas,transport,PJ,0.08277503170302346
Bartow,2020,Petroleum,Bowen Plant,PJ,0.305533275
Bartow,2020,Petroleum,commercial,PJ,0.2484218074659868
Bartow,2020,Petroleum,industrial,PJ,0.797071008252858
Bartow,2020,Petroleum,residential,PJ,0.09224209686339782
Bartow,2020,Petroleum,transport,PJ,8.777624259552043
Bartow,2020,Renewables,Small-scale generation,PJ,0.67915865118
Bartow,2020,Renewables,commercial,PJ,0.0019330377208933143
Bartow,2020,Renewables,industrial,PJ,2.2517890461094911e-4
Bartow,2020,Renewables,residential,PJ,0.007990220249711579
Bartow,2020,Small-scale generation,electricity,PJ,0.6792228
Bartow,2020,agricultural,Water Losses,MGD,0.43968857899999997
Bartow,2020,agricultural,wastewater,MGD,0
Bartow,2020,commercial,Water Losses,MGD,0
Bartow,2020,commercial,energy_services,PJ,1.2574815222829019
Bartow,2020,commercial,rejected_energy,PJ,0.6771054350754087
Bartow,2020,commercial,wastewater,MGD,2.7318188797260277
Bartow,2020,distribute_groundwater,industrial,PJ,9.85331626527263e-4
Bartow,2020,distribute_groundwater,publicWatSup,PJ,3.006432e-4
Bartow,2020,distribute_groundwater,residential,PJ,4.8069694479456004e-4
Bartow,2020,distribute_surfaceWater,industrial,PJ,0.0018299015921220598
Bartow,2020,distribute_surfaceWater,publicWatSup,PJ,0.031503678345538785
Bartow,2020,electricity,Energy Losses,PJ,0.18468015491344789
Bartow,2020,electricity,commercial,PJ,1.1174869548237532
Bartow,2020,electricity,distribute_groundwater,PJ,0.0017666717713218226
Bartow,2020,electricity,distribute_surfaceWater,PJ,0.03333357993766084
Bartow,2020,electricity,elec_export,PJ,26.103266063195754
Bartow,2020,electricity,en4water,PJ,0.11468521719357942
Bartow,2020,electricity,en_wwdist,PJ,0.013865032626831359
Bartow,2020,electricity,en_wwtreat,PJ,0.027730065253662717
