year,source,target,units,value
2020,Biomass,Distributed-scale Generation,EJ,8.000191599999999e-4
2020,Biomass,commercial,EJ,4.933618750307467e-4
2020,Biomass,industrial,EJ,0.10006812055651565
2020,Biomass,residential,EJ,0.0024783854638416054
2020,Biomass,transport,EJ,0.019878900488669037
2020,Bowen Plant,efficiency_losses,EJ,0.051854784841
2020,Bowen Plant,elec_own_use,EJ,0.0028545036840000072
2020,Bowen Plant,electricity,EJ,0.028686726
2020,Coal,Bowen Plant,EJ,0.08309048125
2020,Coal,Jack McDonough,EJ,0
2020,Coal,industrial,EJ,0.0038035719974437447
2020,Distributed-scale Generation,electricity,EJ,3.792132e-4
2020,Energy Storage,Distributed-scale Generation,EJ,0
2020,Geothermal,commercial,EJ,2.2049692738804318e-6
2020,Geothermal,industrial,EJ,3.307453910820648e-6
2020,Geothermal,residential,EJ,1.6757766481491284e-4
2020,Hydroelectric,Utility-scale Generation,EJ,0.0018991446193999998
2020,Jack McDonough,efficiency_losses,EJ,0.069757578974
2020,Jack McDonough,elec_own_use,EJ,9.50372855999998e-4
2020,Jack McDonough,electricity,EJ,0.067358322
2020,Natural Gas,Distributed-scale Generation,EJ,3.1612231e-4
2020,Natural Gas,Jack McDonough,EJ,0.1380662675
2020,Natural Gas,On-Site Backup Generation,EJ,0
2020,Natural Gas,Yates Plant,EJ,0.025980390965
2020,Natural Gas,commercial,EJ,0.028579709243401218
2020,Natural Gas,industrial,EJ,0.08683113876309295
2020,Natural Gas,residential,EJ,0.06783312349933915
2020,Natural Gas,transport,EJ,0.0042462195791752415
2020,On-Site Backup Generation,commercial,EJ,8.316e-7
2020,Petroleum,Bowen Plant,EJ,3.05533275e-4
2020,Petroleum,Distributed-scale Generation,EJ,0
2020,Petroleum,Jack McDonough,EJ,6.3299999999999994e-9
2020,Petroleum,On-Site Backup Generation,EJ,3.0900950000000004e-6
2020,Petroleum,Yates Plant,EJ,0
2020,Petroleum,commercial,EJ,0.012743619918391956
2020,Petroleum,industrial,EJ,0.04088839897252026
2020,Petroleum,residential,EJ,0.004731864061747406
2020,Petroleum,transport,EJ,0.4502773266614415
2020,Solar,Distributed-scale Generation,EJ,1.3253948119999998e-5
2020,Solar,commercial,EJ,9.64674057322689e-5
2020,Solar,residential,EJ,2.3868792389755678e-4
2020,Utility-scale Generation,electricity,EJ,0.001899324
2020,Yates Plant,efficiency_losses,EJ,0.017240761937
2020,Yates Plant,elec_own_use,EJ,6.343838280000007e-4
2020,Yates Plant,electricity,EJ,0.0081052452
2020,commercial,energy_services,EJ,0.06450803293968771
2020,commercial,rejected_energy,EJ,0.03473509465983185
2020,electricity,commercial,EJ,0.0573251968548895
2020,electricity,en4water,EJ,0.0035840793063435044
2020,electricity,government,EJ,6.190801314479385e-4
2020,electricity,industrial,EJ,0.041458345386984924
2020,electricity,residential,EJ,0.05234607485383308
2020,electricity,td_losses,EJ,0.009335835862464984
2020,electricity,transport,EJ,2.644878409174865e-4
2020,en4water,energy_services,EJ,0.002329651549123279
2020,en4water,rejected_energy,EJ,0.0012544277572202266
2020,government,energy_services,EJ,4.0240208544115995e-4
2020,government,rejected_energy,EJ,2.1667804600677843e-4
2020,industrial,energy_services,EJ,0.13379619762874947
2020,industrial,rejected_energy,EJ,0.13925726691971885
2020,onsiteBTM,commercial,EJ,1.7357328e-6
2020,onsiteBTM,industrial,EJ,5.81418e-7
2020,onsiteBTM,residential,EJ,2.6090334e-6
2020,out_metro_elec_import,electricity,EJ,0.05850426983688152
2020,residential,energy_services,EJ,0.08306890962556791
2020,residential,rejected_energy,EJ,0.0447294128753058
2020,transport,energy_services,EJ,0.3085335074706321
2020,transport,rejected_energy,EJ,0.16613342709957113
2021,Biomass,Distributed-scale Generation,EJ,0.00079581815000000005
2021,Biomass,commercial,EJ,4.931477247091844e-4
2021,Biomass,industrial,EJ,0.10006986689981433
2021,Biomass,residential,EJ,0.00256161315326592
2021,Biomass,transport,EJ,0.020673634224679993
2021,Bowen Plant,efficiency_losses,EJ,0.060826633418999985
2021,Bowen Plant,elec_own_use,EJ,0.003202428276000001
2021,Bowen Plant,electricity,EJ,0.0340275852
2021,Coal,Bowen Plant,EJ,0.09784400848
2021,Coal,industrial,EJ,0.0039991800960215195
2021,Distributed-scale Generation,electricity,EJ,4.2834599999999997e-4
2021,Energy Storage,Distributed-scale Generation,EJ,0
2021,Geothermal,commercial,EJ,2.2040121774712146e-6
2021,Geothermal,industrial,EJ,3.3060182662068228e-6
2021,Geothermal,residential,EJ,1.6750492548781238e-4
2021,Hydroelectric,Utility-scale Generation,EJ,0.00158924989
2021,Jack McDonough,efficiency_losses,EJ,0.06782410751199998
2021,Jack McDonough,elec_own_use,EJ,8.859503880000175e-4
2021,Jack McDonough,electricity,EJ,0.06564750479999999
2021,Natural Gas,Distributed-scale Generation,EJ,3.9360573e-4
2021,Natural Gas,Jack McDonough,EJ,0.134346743675
2021,Natural Gas,On-Site Backup Generation,EJ,0
2021,Natural Gas,Yates Plant,EJ,0.015692581675
2021,Natural Gas,commercial,EJ,0.030036277954577723
2021,Natural Gas,industrial,EJ,0.09166982548842714
2021,Natural Gas,residential,EJ,0.07167557801745265
2021,Natural Gas,transport,EJ,0.004464226665467946
2021,On-Site Backup Generation,commercial,EJ,6.156e-7
2021,Petroleum,Bowen Plant,EJ,2.12638415e-4
2021,Petroleum,Distributed-scale Generation,EJ,1.7934999999999998e-8
2021,Petroleum,Jack McDonough,EJ,1.0819025e-5
2021,Petroleum,On-Site Backup Generation,EJ,2.499295e-6
2021,Petroleum,Yates Plant,EJ,0
2021,Petroleum,commercial,EJ,0.01360591817457418
2021,Petroleum,industrial,EJ,0.045015846718760834
2021,Petroleum,residential,EJ,0.004351822044416915
2021,Petroleum,transport,EJ,0.4698750091242215
2021,Solar,Distributed-scale Generation,EJ,1.382629406e-5
2021,Solar,commercial,EJ,1.1901665758344562e-4
2021,Solar,residential,EJ,2.8872559524872914e-4
2021,Utility-scale Generation,electricity,EJ,0.0015894
2021,Yates Plant,efficiency_losses,EJ,0.010543379383000002
2021,Yates Plant,elec_own_use,EJ,5.999974920000003e-4
2021,Yates Plant,electricity,EJ,0.0045492048
2021,commercial,energy_services,EJ,0.06707942155888871
2021,commercial,rejected_energy,EJ,0.036119688531709306
2021,electricity,commercial,EJ,0.05893440151377602
2021,electricity,en4water,EJ,0.003644101477524033
2021,electricity,government,EJ,5.938329549426152e-4
2021,electricity,industrial,EJ,0.043757333411936335
2021,electricity,residential,EJ,0.052396987610913874
2021,electricity,td_losses,EJ,0.009575729164766069
2021,electricity,transport,EJ,2.6882911034160293e-4
2021,en4water,energy_services,EJ,0.002368665960390622
2021,en4water,rejected_energy,EJ,0.0012754355171334117
2021,government,energy_services,EJ,3.8599142071269995e-4
2021,government,rejected_energy,EJ,2.078415342299153e-4
2021,industrial,energy_services,EJ,0.13941286034167694
2021,industrial,rejected_energy,EJ,0.14510318117194945
2021,onsiteBTM,commercial,EJ,7.5284532000000005e-6
2021,onsiteBTM,industrial,EJ,6.828804e-7
2021,onsiteBTM,residential,EJ,8.936262000000002e-6
2021,out_metro_elec_import,electricity,EJ,0.0629291744442006
2021,residential,energy_services,EJ,0.08544325894571085
2021,residential,rejected_energy,EJ,0.046007908663075074
2021,transport,energy_services,EJ,0.32193310443106227
2021,transport,rejected_energy,EJ,0.17334859469364883
2022,Biomass,Distributed-scale Generation,EJ,6.331476999999999e-4
2022,Biomass,commercial,EJ,4.936117518081416e-4
