county,year,source,target,units,value
Bartow,2020,Coal,Bowen Plant,EJ,0.08309048125
Bartow,2020,Hydroelectric,Utility-scale Generation,EJ,6.791586511799999e-4
Bartow,2020,Petroleum,Bowen Plant,EJ,3.05533275e-4
Bartow,2021,Coal,Bowen Plant,EJ,0.09784400848
Bartow,2021,Hydroelectric,Utility-scale Generation,EJ,6.089796798199999e-4
Bartow,2021,Petroleum,Bowen Plant,EJ,2.12638415e-4
Bartow,2022,Coal,Bowen Plant,EJ,0.08872516873
Bartow,2022,Hydroelectric,Utility-scale Generation,EJ,5.2684983726e-4
Bartow,2022,Petroleum,Bowen Plant,EJ,2.39108365e-4
Bartow,2023,Coal,Bowen Plant,EJ,0.10586951797
Bartow,2023,Hydroelectric,Utility-scale Generation,EJ,4.0150967606e-4
Bartow,2023,Petroleum,Bowen Plant,EJ,1.6053513e-4
Bartow,2023,Solar,On-Site Backup Generation,EJ,3.1281045399999997e-6
Bartow,2024,Coal,Bowen Plant,EJ,0.1121563959
Bartow,2024,Hydroelectric,Utility-scale Generation,EJ,4.4089355611999997e-4
Bartow,2024,Petroleum,Bowen Plant,EJ,1.86795135e-4
Bartow,2024,Solar,On-Site Backup Generation,EJ,2.14359753e-5
Cobb,2020,Coal,Jack McDonough,EJ,0
Cobb,2020,Energy Storage,Distributed-scale Generation,EJ,0
Cobb,2020,Natural Gas,Jack McDonough,EJ,0.1380662675
Cobb,2020,Petroleum,Jack McDonough,EJ,6.3299999999999994e-9
Cobb,2020,Solar,Distributed-scale Generation,EJ,2.5233616599999997e-6
Cobb,2021,Energy Storage,Distributed-scale Generation,EJ,0
Cobb,2021,Natural Gas,Jack McDonough,EJ,0.134346743675
Cobb,2021,Petroleum,Jack McDonough,EJ,1.0819025e-5
Cobb,2021,Solar,Distributed-scale Generation,EJ,8.39800678e-6
Cobb,2022,Energy Storage,Distributed-scale Generation,EJ,0
Cobb,2022,Natural Gas,Distributed-scale Generation,EJ,0
Cobb,2022,Natural Gas,Jack McDonough,EJ,0.13479656297
Cobb,2022,Petroleum,Jack McDonough,EJ,5.5915e-7
Cobb,2022,Solar,Distributed-scale Generation,EJ,8.89835952e-6
Cobb,2023,Energy Storage,Distributed-scale Generation,EJ,0
Cobb,2023,Natural Gas,Distributed-scale Generation,EJ,3.0595e-8
Cobb,2023,Natural Gas,Jack McDonough,EJ,0.1301310639
Cobb,2023,Petroleum,Jack McDonough,EJ,6.236105e-6
Cobb,2023,Solar,Distributed-scale Generation,EJ,8.531194199999999e-6
Cobb,2024,Energy Storage,Distributed-scale Generation,EJ,0
Cobb,2024,Natural Gas,Distributed-scale Generation,EJ,1.50443e-6
Cobb,2024,Natural Gas,Jack McDonough,EJ,0.130823493105
Cobb,2024,Petroleum,Jack McDonough,EJ,3.2991959999999996e-5
Cobb,2024,Solar,Distributed-scale Generation,EJ,8.05963874e-6
Coweta,2020,Natural Gas,Yates Plant,EJ,0.025980390965
Coweta,2020,Petroleum,Yates Plant,EJ,0
Coweta,2021,Natural Gas,Yates Plant,EJ,0.015692581675
Coweta,2021,Petroleum,Yates Plant,EJ,0
Coweta,2022,Natural Gas,Yates Plant,EJ,0.01679045582
Coweta,2022,Petroleum,Yates Plant,EJ,0
Coweta,2023,Natural Gas,Yates Plant,EJ,0.025420202845
Coweta,2023,Petroleum,Yates Plant,EJ,0
Coweta,2024,Natural Gas,Yates Plant,EJ,0.02378409091
Coweta,2024,Petroleum,Yates Plant,EJ,0
