year,source,target,units,value
2020,Bowen Plant,Discharge,MGD,16.9
2020,Bowen Plant,Losses,MGD,8.8
2020,Chattahoochee Basin,Jack McDonough Plant,MGD,11.022055
2020,Chattahoochee Basin,Yates Plant,MGD,19.1
2020,Chattahoochee Basin,industrial,MGD,3.8785499999999993
2020,Chattahoochee Basin,publicWatSup,MGD,429.301507330195
2020,Coosa_Etowah Basin,Bowen Plant,MGD,25.7
2020,Coosa_Etowah Basin,industrial,MGD,6.978075
2020,Coosa_Etowah Basin,publicWatSup,MGD,98.83173230308762
2020,Flint Basin,industrial,MGD,0.690625
2020,Flint Basin,publicWatSup,MGD,26.91523803709121
2020,Jack McDonough Plant,Discharge,MGD,2.8220550000000006
2020,Jack McDonough Plant,Losses,MGD,8.2
2020,Ocmulgee Basin,industrial,MGD,0
2020,Ocmulgee Basin,publicWatSup,MGD,52.13235804124404
2020,Oconee Basin,industrial,MGD,0
2020,Oconee Basin,publicWatSup,MGD,0
2020,Tallapoosa Basin,industrial,MGD,0
2020,Tallapoosa Basin,publicWatSup,MGD,1.2375606094351148
2020,Yates Plant,Discharge,MGD,15.400000000000002
2020,Yates Plant,Losses,MGD,3.7
2020,agricultural,losses,MGD,1.9522872035021137
2020,agricultural,wastewater,MGD,0
2020,commercial,losses,MGD,38.04330534516276
2020,commercial,wastewater,MGD,88.90800557371647
2020,groundwaterAllBasins,agricultural,MGD,1.688
2020,groundwaterAllBasins,industrial,MGD,6.217749999999998
2020,groundwaterAllBasins,publicWatSup,MGD,3.66
2020,groundwaterAllBasins,residential,MGD,5.7170407469999995
2020,in-county treatment,Creek,MGD,49.65476998666927
2020,in-county treatment,Lake,MGD,45.79401586394351
2020,in-county treatment,Land,MGD,8.018752783953834
2020,in-county treatment,Reservoir,MGD,1.4874923734911745
2020,in-county treatment,Reuse,MGD,2.775024715937033
2020,in-county treatment,River,MGD,329.6196564406142
2020,in-county treatment,Wetland,MGD,9.341473411383273
2020,industrial,discharge,MGD,17.764999999999997
2020,industrial,losses,MGD,4.953775779465395
2020,industrial,wastewater,MGD,16.901600503543886
2020,publicWatSup,agricultural,MGD,0.26428720350211365
2020,publicWatSup,commercial,MGD,126.95131091887923
2020,publicWatSup,industrial,MGD,21.85537628300928
2020,publicWatSup,losses,MGD,117.33841944999999
2020,publicWatSup,residential,MGD,345.66900246566235
2020,residential,losses,MGD,66.45834987230357
2020,residential,septic,MGD,67.4966854690411
2020,residential,wastewater,MGD,217.43100787131772
2020,subsurface,wastewater,MGD,123.45057162741425
2020,surfaceWater,Chattahoochee Basin,MGD,463.30211233019503
2020,surfaceWater,Coosa_Etowah Basin,MGD,131.50980730308763
2020,surfaceWater,Flint Basin,MGD,27.60586303709121
2020,surfaceWater,Ocmulgee Basin,MGD,52.13235804124404
2020,surfaceWater,Oconee Basin,MGD,0
2020,surfaceWater,Tallapoosa Basin,MGD,1.2375606094351148
2020,wastewater,in-county treatment,MGD,377.6225244019924
2020,wastewater,ww_exports,MGD,69.06866117400001
2020,ww_imports,in-county treatment,MGD,69.06866117400003
2021,Bowen Plant,Discharge,MGD,21.4
2021,Bowen Plant,Losses,MGD,7
2021,Chattahoochee Basin,Jack McDonough Plant,MGD,11.4
2021,Chattahoochee Basin,Yates Plant,MGD,14.7
2021,Chattahoochee Basin,industrial,MGD,3.8785499999999993
2021,Chattahoochee Basin,publicWatSup,MGD,436.63085088863
2021,Coosa_Etowah Basin,Bowen Plant,MGD,28.4
2021,Coosa_Etowah Basin,industrial,MGD,6.978075
2021,Coosa_Etowah Basin,publicWatSup,MGD,100.2039078665241
2021,Flint Basin,industrial,MGD,0.690625
2021,Flint Basin,publicWatSup,MGD,27.312152580368753
2021,Jack McDonough Plant,Discharge,MGD,3.3000000000000007
2021,Jack McDonough Plant,Losses,MGD,8.1
2021,Ocmulgee Basin,industrial,MGD,0
2021,Ocmulgee Basin,publicWatSup,MGD,52.92039694474107
2021,Oconee Basin,industrial,MGD,0
2021,Oconee Basin,publicWatSup,MGD,0
2021,Tallapoosa Basin,industrial,MGD,0
2021,Tallapoosa Basin,publicWatSup,MGD,1.261831393465649
2021,Yates Plant,Discharge,MGD,12.5
2021,Yates Plant,Losses,MGD,2.2
2021,agricultural,losses,MGD,1.9564739569730423
2021,agricultural,wastewater,MGD,0
2021,commercial,losses,MGD,38.79538551166182
2021,commercial,wastewater,MGD,90.22606717905965
2021,groundwaterAllBasins,agricultural,MGD,1.688
2021,groundwaterAllBasins,industrial,MGD,6.217749999999998
2021,groundwaterAllBasins,publicWatSup,MGD,3.66
2021,groundwaterAllBasins,residential,MGD,5.809322828000001
2021,in-county treatment,Creek,MGD,50.53845601784148
2021,in-county treatment,Lake,MGD,46.80038053885688
2021,in-county treatment,Land,MGD,8.17684961579094
2021,in-county treatment,Reservoir,MGD,1.501210593223645
2021,in-county treatment,Reuse,MGD,2.8385695080410924
2021,in-county treatment,River,MGD,334.9536994147298
2021,in-county treatment,Wetland,MGD,9.423602325640793
2021,industrial,discharge,MGD,17.764999999999997
2021,industrial,losses,MGD,5.016829951735012
2021,industrial,wastewater,MGD,17.23118840279593
2021,publicWatSup,agricultural,MGD,0.26847395697304216
2021,publicWatSup,commercial,MGD,129.02145269072147
2021,publicWatSup,industrial,MGD,22.248018354530938
2021,publicWatSup,losses,MGD,119.21624826000001
2021,publicWatSup,residential,MGD,351.23494641150415
2021,residential,losses,MGD,67.7173624549899
2021,residential,septic,MGD,67.99955104547945
2021,residential,wastewater,MGD,221.32735573903477
2021,subsurface,wastewater,MGD,125.44815669323422
2021,surfaceWater,Chattahoochee Basin,MGD,466.60940088863
2021,surfaceWater,Coosa_Etowah Basin,MGD,135.5819828665241
2021,surfaceWater,Flint Basin,MGD,28.002777580368754
2021,surfaceWater,Ocmulgee Basin,MGD,52.92039694474107
2021,surfaceWater,Oconee Basin,MGD,0
2021,surfaceWater,Tallapoosa Basin,MGD,1.261831393465649
2021,wastewater,in-county treatment,MGD,383.49158579912455
2021,wastewater,ww_exports,MGD,70.74118221500001
2021,ww_imports,in-county treatment,MGD,70.74118221500002
2022,Bowen Plant,Discharge,MGD,14.52
2022,Bowen Plant,Losses,MGD,9.98
2022,Chattahoochee Basin,Jack McDonough Plant,MGD,11.2
2022,Chattahoochee Basin,Yates Plant,MGD,12.7
2022,Chattahoochee Basin,industrial,MGD,3.8785499999999993
2022,Chattahoochee Basin,publicWatSup,MGD,443.898940827252
2022,Coosa_Etowah Basin,Bowen Plant,MGD,24.5
2022,Coosa_Etowah Basin,industrial,MGD,6.978075
2022,Coosa_Etowah Basin,publicWatSup,MGD,101.60506758074968
2022,Flint Basin,industrial,MGD,0.690625
2022,Flint Basin,publicWatSup,MGD,27.725806942100224
2022,Jack McDonough Plant,Discharge,MGD,3.6999999999999993
2022,Jack McDonough Plant,Losses,MGD,7.5
2022,Ocmulgee Basin,industrial,MGD,0
2022,Ocmulgee Basin,publicWatSup,MGD,53.72545167873214
2022,Oconee Basin,industrial,MGD,0
2022,Oconee Basin,publicWatSup,MGD,0
