county,year,source,target,units,value
Bartow,2020,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8137355318647984
Bartow,2020,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.2758528149744613
Bartow,2020,Allatoona Lake,publicWatSup,MGD,19.456306932928836
Bartow,2020,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009333281395800372
Bartow,2020,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.05862816992352777
Bartow,2020,Bolivar Springs,publicWatSup,MGD,0.6539935103505491
Bartow,2020,Bowen Plant,Discharge,MGD,16.9
Bartow,2020,Bowen Plant,Losses,MGD,8.8
Bartow,2020,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,8.74306110161906
Bartow,2020,Coosa_Etowah Basin,Bowen Plant,MGD,25.7
Bartow,2020,Coosa_Etowah Basin,industrial,MGD,1.339056896237311
Bartow,2020,EMERSON HENRY JORDAN WWTP,Pumpkinvine Creek_ds,MGD,0.13729585879769277
Bartow,2020,Etowah River,publicWatSup,MGD,0
Bartow,2020,Lewis Spring,publicWatSup,MGD,2.6159740414021964
Bartow,2020,Moss Springs,publicWatSup,MGD,0.32699675517527454
Bartow,2020,agricultural,losses,MGD,0.43968857899999997
Bartow,2020,agricultural,wastewater,MGD,0
Bartow,2020,commercial,losses,MGD,0
Bartow,2020,commercial,wastewater,MGD,2.7318188797260277
Bartow,2020,groundwater,agricultural,MGD,0.408
Bartow,2020,groundwater,industrial,MGD,0.721030636435475
Bartow,2020,groundwater,publicWatSup,MGD,0.22
Bartow,2020,groundwater,residential,MGD,0.351756926
Bartow,2020,industrial,discharge,MGD,2.060087532672787
Bartow,2020,industrial,losses,MGD,3.2425446212739732
Bartow,2020,industrial,wastewater,MGD,4.176361539726027
Bartow,2020,publicWatSup,agricultural,MGD,0.031688579
Bartow,2020,publicWatSup,commercial,MGD,2.7318188797260277
Bartow,2020,publicWatSup,industrial,MGD,7.418906161000001
Bartow,2020,publicWatSup,losses,MGD,7.04288964
Bartow,2020,publicWatSup,residential,MGD,6.047967980130822
Bartow,2020,residential,losses,MGD,1.2312654346239729
Bartow,2020,residential,septic,MGD,3.621691805479453
Bartow,2020,residential,wastewater,MGD,1.546767666027396
Bartow,2020,subsurface,wastewater,MGD,1.6909896170958905
Bartow,2020,wastewater,ADAIRSVILLE NORTH WPCP,MGD,0.8137355318647984
Bartow,2020,wastewater,ADAIRSVILLE SOUTH WPCP,MGD,0.2758528149744613
Bartow,2020,wastewater,BARTOW SOUTHEAST WPCP,MGD,0.009333281395800372
Bartow,2020,wastewater,BARTOW TWO RUN WPCP,MGD,0.05862816992352777
Bartow,2020,wastewater,CARTERSVILLE JAMES R. STAFFORD WPCP,MGD,8.74306110161906
Bartow,2020,wastewater,COBB NORTHWEST WRF,MGD,0.108030944
Bartow,2020,wastewater,EMERSON HENRY JORDAN WWTP,MGD,0.13729585879769277
Bartow,2021,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8231750146364782
Bartow,2021,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.27905275868160595
Bartow,2021,Allatoona Lake,publicWatSup,MGD,19.6766837924792
Bartow,2021,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009441549187348075
Bartow,2021,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.05930826754524524
Bartow,2021,Bolivar Springs,publicWatSup,MGD,0.6614011358816538
Bartow,2021,Bowen Plant,Discharge,MGD,21.4
Bartow,2021,Bowen Plant,Losses,MGD,7
Bartow,2021,CARTERSVILLE JAMES R. STAFFORD WPCP,Etowah River_ds,MGD,8.844482228519281
Bartow,2021,Coosa_Etowah Basin,Bowen Plant,MGD,28.4
